time,avg_yy_stress,max_y_disp,max_yy_stress,react_y
0,0,0,0,0
1,-10041764.436908,0,-9054718.8647302,20536750.556787
2,-20166515.860347,0,-18202878.780456,41242743.050154
3,-30373549.453241,0,-27442898.142351,62116556.230067
